term_id,zh-CN,ko
1,BOSS-乱界之主,BOSS-난계의 주인
2,BOSS-六耳,BOSS-육이
3,BOSS-厄魅,BOSS-액매
4,BOSS-圣升,BOSS-성승
5,BOSS-坐骑boss狼,BOSS-탈것boss늑대
6,BOSS-墨狐,BOSS-묵호
7,BOSS-奇兵傀儡,BOSS-기병괴뢰
8,BOSS-守护者,BOSS-수호자
9,BOSS-幽冥女神,BOSS-죽음의 여신
10,BOSS-庞弘,BOSS-방홍
11,BOSS-旋龟,BOSS-회전거북
12,BOSS-时空妖灵,BOSS-시공요령
13,BOSS-林潘,BOSS-임반
14,BOSS-栾劫,BOSS-난겁
15,BOSS-梁曲,BOSS-양곡
16,BOSS-楚威,BOSS-초위
17,BOSS-楚邪,BOSS-초사
18,BOSS-烈焰兽,BOSS-화염수
19,BOSS-王炎,BOSS-왕염
20,BOSS-白战,BOSS-백전
21,BOSS-白泽,BOSS-태백
22,BOSS-稚灌,BOSS-치관
23,BOSS-穷奇,BOSS-궁기
24,BOSS-空明法师,BOSS-공명법사
25,BOSS-艾猛,BOSS-예맹
26,BOSS-英招,BOSS-영소
27,BOSS-虚空幻灵,BOSS-허공환영
28,BOSS-试炼长老,BOSS-시련장로
29,BOSS-魔化庞弘,BOSS-마화된 방홍
30,BOSS伤害加成,BOSS 피해 보너스
31,BOSS刷新,BOSS 갱신
32,BOSS层,BOSS층
33,BOSS属性,BOSS속성
34,BOSS首杀,BOSS첫킬
35,PK必备,PK 필수
36,PVP伤害加成,PVP피해 보너스
37,PVP伤害增强,PVP피해 증가
38,PVP战斗,PVP전투
39,PVP神通宝箱,PVP신통상자
40,VIP万世天王,VIP만세천왕
41,VIP举世天骄,VIP세계군주
42,VIP体验.十天,VIP체험.10일
43,VIP体验卡,VIP체험카드
44,VIP凌天旷世,VIP무한경지
45,VIP副本,VIP던전
46,VIP卡,VIP카드
47,VIP名门新秀,VIP명문인재
48,VIP大礼包,VIP선물(대)
49,VIP头像,VIP프로필
50,VIP御尊神王,VIP어존신왕
51,VIP投资,VIP투자
52,VIP投资体验卡,VIP투자 체험카드
53,VIP投资红包,VIP투자 보너스
54,VIP折扣直升,VIP 할인 달성
55,VIP权势贵族,VIP권세귀족
56,VIP每日礼包,VIP일일선물
57,VIP气泡,VIP 말풍선
58,VIP特权,VIP 특권
59,VIP白银,VIP실버
60,VIP礼包特权,VIP 선물특권
61,VIP神界霸主,VIP신계제왕
62,VIP续费,VIP연장
63,VIP至尊,VIP지존
64,VIP豪门至尊,VIP세가지존
65,VIP黄金,VIP골드
66,boss辅助怪,boss보조몬스터
67,一星,1성
68,一气,일기
69,一濑,개빈
70,一键,일괄
71,丁不忧,정불우
72,七宫,하모니
73,七星,칠성
74,七绝,칠절
75,七色绢,칠색비단
76,万兽之王,만수의 왕
77,万兽铃,만수령
78,万剑归宗,만검귀종
79,万寿阁,만수각
80,万灵点,문양 포인트
81,万灵纹,문양
82,万绝扇,만절부채
83,三儿,삼아
84,三叉戟,삼지창
85,三天前,3일 전
86,三宫,가브리엘
87,三文鱼,연어
88,三生石,삼생석
89,三生菇,삼생버섯
90,三皇文,삼황문
91,三转正,3차 정파 전직
92,三转邪,3차 사파 전직
93,三进兵,삼진병
94,三连拳,삼연권
95,上古之神,고대의 신
96,上尉,대위
97,上昊,상호
98,上星,상성
99,上海,상해
100,上等木料,고급 목재
101,上船,승선
102,下水道,하수도
103,下级效果,다음 레벨 효과
104,不速之客,불청객
105,世交,세교
106,世界NPC,월드NPC
107,世界历练,의뢰
108,世界杯,월드컵
109,世界精英,필드 보스
110,丘甲蛇,구갑사
111,丘络,구락
112,东厂,동창
113,东堂,뉴볼드
114,东洲城,동주성
115,东海城,동해성
116,丝绸,비단
117,丝萝,사나
118,丢宝,보물 분실
119,个人BOSS,개인BOSS
120,个人积分,개인 점수
121,中二病,중이병
122,中原城,중원성
123,中士,중사
124,中文,중문
125,中毒伤害,중독 피해
126,中秋礼包,추석 선물
127,中立,중립
128,中立区域,중립구역
129,中级,중급
130,中级祝福石,중급 축복석
131,丰口,멜빈
132,临时背包,임시 가방
133,丹尼尔,다니엘
134,主动技能,액티브 스킬
135,主界面,메인 화면
136,主线,메인
137,义之道,의지도
138,义士,의인
139,义昌山,의창산
140,乐斗币,오락화폐
141,乔伊斯,조이스
142,乔巴,나버
143,九变,구변
144,九圣,구성
145,九天弓,구천궁
146,九天扇,구천부채
147,九尾,구미
148,九幽,구유
149,九幽使,구유사
150,九环刀,구환도
151,九转丹,구전단
152,九锡扇,구석부채
153,九香丸,구향환
154,九香花,구향화
155,九龙枪,구룡창
156,书包,책가방
157,书童,시동
158,买路之财,통행료
159,买金币,금화 구매
160,乱中奇,난중기
161,乱斗场,난투장
162,乾坤,건곤
163,乾坤圈,건곤권
164,乾坤宝珠,건곤보물
165,乾坤点,건곤점수
166,乾坤镜,건곤경
167,二师兄,둘째 사형
168,二星,2성
169,二段击,2단계 공격
170,二段砍,2단계 찍기
171,二转正,2차 정파 전직
172,二转邪,2차 사파 전직
173,二连击,2연격
174,二连箭,이연화살
175,云华,운화
176,云天,운천
177,云川,홀리
178,云杉,종달나무
179,云水,운수
180,云箓,운록
181,云锦,운금
182,五彩石,오채석
183,五枢,오추
184,五毒珠,오독주
185,五色铁,오색철
186,五行,오행
187,五连抽,5연차
188,井洪道,정홍도
189,亚尔,벨라
190,亚连,오턴
191,亡灵军马,언데드
192,亡灵法师,망령 마법사
193,亡魂刃,망혼인
194,亢金龙,항금룡
195,亭侯,정후
196,亲兵乙,근위병 을
197,亲兵甲,근위병 갑
198,人仙,인선
199,人参茶,인삼차
200,人图腾,인 토템
201,仁之道,인지도
202,仁太,포
203,仁心,인심
204,仁王令,인왕령
205,仇仁,구인
206,今吉,록산
207,从书兰,종서란
208,仓敷,노라
209,仓桥,마고
210,仙人NPC,선인NPC
211,仙侠抄,선협초
212,仙命,선명
213,仙器,무기
214,仙女,선녀
215,仙岛,신선도
216,仙师,선인
217,仙帝,선제
218,仙府,선부
219,仙攻,선공
220,仙桃,선도
221,仙灵,선령
222,仙灵养成包,펫 육성팩
223,仙灵技能,펫 스킬
224,仙珠,선주
225,仙界,선계
226,仙盟,선계 연맹
227,仙禽,신가
228,仙童,선동
229,仙索,로프
230,仙翼,선익
231,仙药,선약
232,仙阁,선각
233,仙音笛,선음피리
234,代行者,대행자
235,仪南峰,의남봉
236,仲夏,한여름
237,任务道具,퀘스트 아이템
238,伊澄,소프
239,伊登,이든
240,伊织,피츠
241,伏羲,복희
242,伏羲琴,복희금
243,伏腊,복석
244,伏魔,복마
245,伏龙草,복룡초
246,优品,우품
247,会武币,대전화폐
248,传功者,전수자
249,传奇属性,전설 속성
250,传说套,전설 세트
251,传送门,전송문
252,传送阵,전송진
253,伤兵,부상병
254,伤别离,상별리
255,伤害豁免,피해 면역
256,伤害量,피해량
257,伯克,버크
258,佐久,나탈리에
259,佐天,린우드
260,佐崎,플린
261,佐耶,베일즈
262,佑奠煌,우전황
263,体积,체적
264,体验VIP卡,VIP체험권
265,佛奴,불노
266,你的酒,당신의 술
267,佩戴称号,칭호 장착
268,使者,사자
269,侍龙者,시용자
270,依报,의보
271,依蒙,사이먼
272,侠义令,협의령
273,侠义值,의협치
274,侠之道,협지도
275,侠客岛,협객도
276,侯自在,후자재
277,保元丹,보원단
278,保护符,보호부적
279,信之道,신지도
280,信仰之力,신앙의 힘
281,信仰者,신자
282,信奉者,신봉자
283,信标,표지
284,修士,수사
285,修罗鬼帅boss技能,수라귀사 BOSS스킬
286,修罗鬼帅boss普攻,수라귀사boss일반공격
287,偃之翼,승리의 날개
288,偃兽,언수
289,偃术,언술
290,偃甲女,언갑(여)
291,偃甲男,언갑(남)
292,假兴文,가흥문
293,偏斜,편향
294,偏斜率,편향률
295,偏洲镇,편주진
296,健壮期,건장기
297,偷猎者,밀렵꾼
298,傀儡boss技能,괴뢰 BOSS스킬
299,傀儡boss普攻,괴뢰boss 일반공격
300,傀儡魂,괴뢰혼
301,催火扇,최화선
302,傲天,오천
303,僵尸王,강시왕
304,儒家,노가
305,儿歌,동요
306,元代,원대
307,元守,원수
308,元府,원부
309,元晶,정석
310,元朝,원나라
311,元灵碎片,원령 조각
312,元神,원신
313,元福签,원복부적
314,元素神兵,원소신병
315,元老,원로
316,元魂,원혼
317,充值有礼,충전 선물
318,充值活动,충전 이벤트
319,先锋靴,선봉대의 신발
320,光之守护,빛의 수호
321,光圈,빛의 고리
322,光定,패트릭
323,光逾长庚,경성
324,克洛,클로
325,克莱尔,클레어
326,免控,반공
327,免费送VIP,VIP 무료 증정
328,兑换券,교환권
329,入侵者,침입자
330,入魔者,입마자
331,八仙,팔선
332,八卦印,팔괘
333,八宝糕,팔보고
334,公主风,공주풍
335,公会商人,길드 상인
336,六一,어린이날
337,六根净,육근정
338,六耳boss技能,육이 BOSS스킬
339,六耳boss普攻,육이 boss일반공격
340,六道,육도
341,六道藏,육도장
342,六龙册,육용책
343,兰斯,엘리어트
344,兰浆,난장
345,兰芝,란지
346,兰花妖,란화요
347,共工,공공
348,共患难,공환난
349,关元,관원
350,关银明,관은명
351,兵器架,병기걸이
352,兵工厂,무기공장
353,兵符,병부
354,兵舍,병영
355,养元草,양원초
356,养老虎,호랑이 기르기
357,兽人,오크
358,兽人战士,오크 전사
359,内功,내공
360,内罡,내강
361,内裤,속바지
